Year,Genre,MIR_novelty_score_mean,lyric_novelty_score_mean,MIR_novelty_score_median,lyric_novelty_score_median,MIR_novelty_std_dev,lyric_novelty_std_dev
1974,Blues,2.4054832200211723e-16,2.6830389761774615e-16,0.46666514883846677,-0.0035894942584330236,1.0954451150103321,1.0954451150103321
1974,Comedy,8.511709855459534e-16,4.070817756958907e-16,0.040224278788923505,0.12668596710726546,1.0954451150103324,1.0954451150103321
1974,Country,-6.018577449283744e-16,2.600259189253656e-16,-0.21738481921237252,-0.08400750253654364,1.0134234194190634,1.0134234194190634
1974,Electronica,0.0,0.0,0.0,0.0,,
1974,Folk,8.215650382226159e-16,-6.661338147750939e-16,0.027866644696478364,0.25189716665465883,1.1180339887498947,1.118033988749895
1974,Gospel,0.0,0.0,0.0,0.0,0.0,0.0
1974,Jazz,-2.9605947323337506e-16,-1.2582527612418441e-15,0.3831476603712137,-0.0381070323266188,1.2247448713915887,1.2247448713915892
1974,New Age,0.0,0.0,0.0,0.0,,
1974,Pop,3.885780586188048e-16,4.3298697960381104e-16,0.38935814468926666,-0.05153142808678898,1.0540925533894598,1.0540925533894598
1974,R&B,-3.205198663558243e-16,-1.5816875967262503e-16,-0.2991705465347393,0.05197568392923292,1.0034423509719619,1.0034423509719619
1974,Rock,4.305750322031516e-16,8.144867604236957e-17,-0.20730753115180287,-0.06725370508544035,1.002190583128918,1.002190583128918
1974,Vocal,-1.6979881553090628e-16,-5.877651306839064e-17,-0.22673843358979354,-0.13959795253012874,1.0307764064044151,1.030776406404415
1975,Blues,0.0,0.0,0.0,0.0,0.0,0.0
1975,Comedy,1.850371707708594e-17,0.0,0.3829810409422743,0.1214102725954686,1.224744871391589,1.2247448713915892
1975,Country,6.719770938520684e-17,-3.5351838415695773e-16,-0.26645678130335404,-0.09164143074186767,1.0134234194190634,1.0134234194190634
1975,Easy,-3.700743415417188e-17,-7.401486830834377e-17,0.5745911961734194,0.5519947511514892,1.224744871391589,1.224744871391589
1975,Electronica,0.0,0.0,0.0,0.0,,
1975,Folk,-1.0269562977782698e-16,-3.3306690738754695e-17,0.18494586654410275,-0.17469169648583976,1.0540925533894596,1.0540925533894598
1975,Gospel,0.0,0.0,0.0,0.0,0.0,0.0
1975,Jazz,1.1102230246251565e-16,6.938893903907228e-17,0.08355024603070033,-0.3349122717524107,1.1547005383792515,1.1547005383792515
1975,Pop,4.2928623618839387e-16,-1.7763568394002506e-16,-0.2881832181200521,0.03746309726339658,1.0350983390135313,1.0350983390135313
1975,R&B,2.7755575615628914e-16,-1.653178810390744e-16,-0.33318167489356665,0.07497372585432246,1.0036697371030328,1.0036697371030328
1975,Rap,0.0,0.0,0.0,0.0,,
1975,Reggae,0.0,0.0,0.0,0.0,,
1975,Rock,2.4948357701652757e-16,2.241552950859156e-16,-0.2375966506189553,-0.2057919260350341,1.0019065794240147,1.0019065794240145
1975,Vocal,-1.3026616822268502e-15,-1.3322676295501878e-16,-0.15221089638044902,-0.020517084187153617,1.0350983390135313,1.035098339013531
1976,Children's,0.0,0.0,0.0,0.0,,
1976,Comedy,-1.4802973661668753e-16,-1.0362081563168128e-15,-0.25366630902762266,0.2119474652869296,1.2247448713915892,1.2247448713915892
1976,Country,-2.0662484069412636e-16,1.7578531223231644e-16,-0.25769184216150354,0.0005499795185863708,1.01418510567422,1.01418510567422
1976,Easy,0.0,0.0,0.0,0.0,,
1976,Electronica,0.0,0.0,0.0,0.0,0.0,0.0
1976,Folk,-1.554312234475219e-16,-4.4408920985006264e-17,-0.5170289579889581,0.2444874696988169,1.118033988749895,1.118033988749895
1976,Gospel,0.0,0.0,0.0,0.0,0.0,0.0
1976,Jazz,3.20731096002823e-16,9.868649107779169e-17,-0.1398817999780352,0.08119230359953461,1.0606601717798212,1.0606601717798214
1976,Pop,-2.7755575615628914e-16,3.23815048849004e-17,-0.19458819381335468,-0.10209100037037576,1.0444659357341868,1.044465935734187
1976,R&B,3.8905251290283263e-16,3.795634272222758e-18,-0.2993486641443268,-0.040258679006918895,1.0043010951179794,1.0043010951179792
1976,Reggae,0.0,0.0,0.0,0.0,0.0,0.0
1976,Rock,6.280719408610145e-17,-2.212282644657481e-16,-0.199979326575021,-0.07177622279500709,1.0018433195367276,1.0018433195367276
1976,Vocal,-4.533410683886056e-16,4.070817756958907e-16,-0.03504983464691555,-0.22923066862521493,1.0954451150103321,1.0954451150103321
1977,Blues,0.0,0.0,0.0,0.0,0.0,0.0
1977,Comedy,0.0,0.0,0.0,0.0,0.0,0.0
1977,Country,2.2857532859929692e-17,3.6041431277353425e-16,-0.210402365999107,-0.06929636740327483,1.0307764064044151,1.0307764064044154
1977,Easy,0.0,0.0,0.0,0.0,0.0,0.0
1977,Electronica,0.0,0.0,0.0,0.0,,
1977,Folk,-4.996003610813204e-16,-1.1102230246251565e-16,0.19315221861760404,-0.005686706196776123,1.1547005383792515,1.1547005383792517
1977,Gospel,0.0,0.0,0.0,0.0,,
1977,Jazz,1.3322676295501878e-16,2.4424906541753446e-16,-0.18356081770801588,-0.5538506339421082,1.118033988749895,1.118033988749895
1977,Pop,-2.0185873175002846e-16,-4.491356781438134e-16,-0.33230174302682713,-0.34478991288003635,1.0488088481701516,1.0488088481701516
1977,R&B,1.5139404881252134e-17,9.209804636095049e-17,-0.30776354846184617,-0.16815287857653877,1.0057307059414877,1.0057307059414877
1977,Rap,0.0,0.0,0.0,0.0,,
1977,Rock,1.4734186609337579e-16,4.230403718367232e-17,-0.2300635002712364,-0.13343524314778488,1.0018639345158513,1.0018639345158518
1977,Vocal,-3.700743415417188e-17,1.0793834961633466e-16,0.3292301246381804,-0.041818928527059325,1.0606601717798212,1.0606601717798214
1978,Blues,0.0,0.0,0.0,0.0,,
1978,Comedy,0.0,0.0,0.0,0.0,0.0,0.0
1978,Country,2.353672812205332e-16,-2.886579864025407e-17,-0.14095784495012767,-0.04505856764963099,1.0206207261596578,1.0206207261596574
1978,Easy,0.0,0.0,0.0,0.0,,
1978,Electronica,-1.1990408665951691e-15,-3.108624468950438e-16,-0.3179705275824426,-0.6885106318375819,1.1180339887498947,1.1180339887498947
1978,Folk,-3.0531133177191805e-16,2.7755575615628914e-17,-0.21784267007576835,0.24037805082754762,1.1547005383792515,1.1547005383792515
1978,Gospel,0.0,0.0,0.0,0.0,0.0,0.0
1978,Jazz,-1.942890293094024e-16,-3.700743415417188e-17,-0.27172554828238354,0.05478805224711847,1.0954451150103324,1.0954451150103321
1978,Pop,2.2738221562034454e-16,3.75767792950053e-16,-0.058491828815961475,-0.011007167317912058,1.0408329997330663,1.0408329997330663
1978,R&B,1.916275357572188e-16,-1.6425217350618753e-16,-0.3125667176307446,-0.09954226038413498,1.0069204977995474,1.0069204977995476
1978,Rap,0.0,0.0,0.0,0.0,,
1978,Reggae,0.0,0.0,0.0,0.0,,
1978,Rock,-2.9632287134123396e-18,-1.4658104702346374e-16,-0.17593785003140608,-0.14917983010743302,1.0017841227387407,1.0017841227387407
1978,Vocal,3.251367429259387e-16,9.516197353929913e-17,-0.4790491600663312,-0.18310946366507214,1.0801234497346435,1.0801234497346435
1979,Children's,0.0,0.0,0.0,0.0,,
1979,Comedy,0.0,0.0,0.0,0.0,0.0,0.0
1979,Country,-4.827056628805028e-17,-3.37893964016352e-17,-0.13144015855902144,0.2513352390960205,1.02247471629109,1.0224747162910903
1979,Easy,4.996003610813204e-16,8.326672684688674e-17,-0.11824238935805942,-0.3914407789625408,1.1547005383792515,1.1547005383792517
1979,Electronica,-5.551115123125783e-16,-1.3877787807814457e-17,-0.3909229639531398,0.20317322751041056,1.1547005383792515,1.1547005383792515
1979,Folk,-6.147859998861804e-16,1.3322676295501878e-16,-0.13521331287276858,-0.5275208576780636,1.118033988749895,1.118033988749895
1979,Jazz,-2.9738116731030977e-16,-1.9032394707859825e-16,-0.04290202561210468,-0.3821487390636814,1.0801234497346435,1.0801234497346432
1979,Pop,1.1428766429964846e-16,2.2857532859929692e-17,-0.2981929629653586,-0.2406553167535821,1.0307764064044151,1.0307764064044151
1979,R&B,2.4304882430983155e-16,-2.4754972846371735e-16,-0.2453967133565516,-0.19709913767464676,1.0068260178089288,1.0068260178089292
1979,Rap,0.0,0.0,0.0,0.0,,
1979,Reggae,0.0,0.0,0.0,0.0,,
1979,Rock,1.64991477270683e-16,-6.245004513516506e-17,-0.21332285892948513,-0.15885310051780346,1.0017406453556188,1.0017406453556184
1979,Vocal,8.326672684688674e-17,5.551115123125783e-17,-0.40584584798353884,0.1306104924583259,1.0690449676496976,1.0690449676496974
1980,Comedy,0.0,0.0,0.0,0.0,,
1980,Country,8.933825901280557e-17,-2.949029909160572e-17,-0.2661273164715865,-0.18984984084155904,1.0160010160015238,1.016001016001524
1980,Easy,0.0,0.0,0.0,0.0,0.0,0.0
1980,Electronica,4.884981308350689e-16,-8.881784197001252e-16,-0.13827565711851594,-0.2405583690959985,1.118033988749895,1.118033988749895
1980,Folk,3.7007434154171886e-16,1.0362081563168128e-15,-0.19214002954086884,0.2128826524574801,1.224744871391589,1.224744871391589
1980,Jazz,-1.3877787807814457e-16,2.0816681711721685e-17,0.1506539634930082,0.04212773658142624,1.0690449676496976,1.0690449676496976
1980,Pop,-1.3664283380001927e-16,0.0,-0.5004945909451394,0.1421064312635359,1.0408329997330663,1.0408329997330663
1980,R&B,1.0297720808117394e-16,9.01050570710272e-17,-0.19642395444720948,-0.028807201073107407,1.007326105267277,1.007326105267277
1980,Rap,0.0,0.0,0.0,0.0,0.0,0.0
1980,Rock,3.1273888017610045e-17,-2.3435869833196526e-16,-0.20945030242040572,-0.07332953310501059,1.0017652264401045,1.0017652264401045
1980,Vocal,9.868649107779169e-17,-4.194175870806147e-16,-0.3020923203597466,-0.2889860903540966,1.0606601717798214,1.0606601717798212
1981,Blues,0.0,0.0,0.0,0.0,0.0,0.0
1981,Comedy,0.0,0.0,0.0,0.0,,
1981,Country,-1.0061396160665481e-16,-2.0816681711721685e-17,-0.0717217867614923,-0.21690324924357912,1.016001016001524,1.016001016001524
1981,Easy,0.0,0.0,0.0,0.0,,
1981,Electronica,0.0,0.0,0.0,0.0,,
1981,Folk,-1.4802973661668753e-16,0.0,-0.17881874898322253,0.4450028129981046,1.224744871391589,1.224744871391589
1981,Gospel,0.0,0.0,0.0,0.0,,
1981,Jazz,-8.881784197001253e-17,7.216449660063518e-17,0.3335208397614239,0.09984352110613352,1.118033988749895,1.1180339887498947
1981,Pop,-2.331468351712829e-16,1.1102230246251565e-16,-0.3785567540873699,0.03679986825909497,1.0540925533894598,1.0540925533894596
1981,R&B,-5.034287163386486e-16,1.9907447338106256e-16,-0.1995234167233479,-0.11996541505859633,1.0087337902782492,1.0087337902782492
1981,Rap,0.0,0.0,0.0,0.0,,
1981,Rock,1.1677246155419973e-16,7.077118882072711e-17,-0.19662145375536647,-0.0586968606127017,1.0019980039900276,1.0019980039900278
1981,Vocal,4.246603069191224e-16,2.220446049250313e-16,0.017675160156725156,0.24544521568339778,1.0540925533894596,1.0540925533894598
1982,Country,1.0705722023171153e-16,1.1102230246251565e-16,-0.1116259028261656,0.2232201691814903,1.0183501544346312,1.0183501544346312
1982,Easy,0.0,0.0,0.0,0.0,,
1982,Electronica,-1.7578531223231644e-16,-7.401486830834377e-16,0.22833673924310985,-0.3115264162365197,1.2247448713915887,1.224744871391589
1982,Folk,0.0,4.070817756958907e-16,0.08927740603960607,-0.3859318897047668,1.2247448713915892,1.224744871391589
1982,Gospel,0.0,0.0,0.0,0.0,,
1982,Jazz,1.0785023667787234e-15,-2.5376526277146434e-16,0.1423328709058072,0.2690189579330059,1.0801234497346435,1.0801234497346435
1982,Pop,-2.9036602182504095e-16,-2.7328566760003855e-16,-0.09850609164224852,0.044419858953414125,1.0408329997330663,1.0408329997330663
1982,R&B,4.798421547108727e-16,-1.919368618843491e-16,-0.2455221413073808,-0.0039618163163110745,1.0085838484282525,1.0085838484282528
1982,Rap,0.0,0.0,0.0,0.0,0.0,0.0
1982,Rock,9.648847377651361e-17,-1.8974720784502674e-16,-0.2576640109291937,-0.10868834538621884,1.0018231555701314,1.0018231555701314
1982,Vocal,-2.331468351712829e-16,8.881784197001252e-16,-0.5660459976871204,-0.3338069740993328,1.1180339887498947,1.1180339887498947
1983,Blues,0.0,0.0,0.0,0.0,,
1983,Comedy,0.0,0.0,0.0,0.0,,
1983,Country,-1.0621845283673373e-16,2.4766513626253493e-16,-0.33747926589098065,0.03266604852586892,1.019803902718557,1.0198039027185568
1983,Easy,-2.9605947323337506e-16,4.440892098500626e-16,0.6739054844882227,0.4285269938491547,1.2247448713915892,1.224744871391589
1983,Electronica,1.5860328923216522e-16,4.034471169843203e-16,-0.5135127102872711,0.06017869479964335,1.0801234497346435,1.080123449734643
1983,Jazz,0.0,5.551115123125783e-17,-0.4601765460815921,0.35022475585962093,1.1547005383792515,1.1547005383792515
1983,Pop,-3.700743415417188e-17,3.392348130799089e-16,-0.2665320660379798,0.2407955049154629,1.0606601717798212,1.0606601717798214
1983,R&B,3.063587119838286e-16,-2.890769384873049e-16,-0.13676785991729182,-0.09104702176365906,1.0095695960312836,1.0095695960312834
1983,Reggae,-2.7755575615628914e-17,0.0,-0.07222551658571202,0.3956955565331417,1.1547005383792515,1.1547005383792515
1983,Rock,-6.557478574479553e-16,-1.346593087932448e-16,-0.17988570686555386,-0.1252345148231359,1.0016168159304693,1.0016168159304697
1983,Vocal,-4.440892098500626e-16,-6.167905692361981e-17,-0.05582963083514505,-0.323675573302467,1.0606601717798214,1.0606601717798214
1984,Comedy,1.6653345369377348e-16,-5.551115123125783e-17,-0.43325956097393953,0.19501891953174966,1.1547005383792515,1.1547005383792515
1984,Country,2.3058478203753253e-16,-4.099285014000578e-16,-0.499343533419355,0.008524348557437614,1.0408329997330663,1.0408329997330663
1984,Easy,0.0,0.0,0.0,0.0,0.0,0.0
1984,Electronica,0.0,0.0,0.10848003142461071,0.38859841861702854,1.1547005383792517,1.1547005383792515
1984,Folk,0.0,0.0,0.0,0.0,,
1984,Jazz,0.0,0.0,0.0,0.0,,
1984,Pop,-7.216449660063518e-16,1.4802973661668753e-16,-0.3341214154717888,-0.12267736595286792,1.0350983390135313,1.0350983390135313
1984,R&B,-2.6798486801296883e-17,1.4787022181429886e-16,-0.1407263799141549,-0.060974472340094156,1.0087337902782492,1.0087337902782494
1984,Rap,0.0,0.0,0.0,0.0,0.0,0.0
1984,Reggae,0.0,0.0,0.0,0.0,0.0,0.0
1984,Rock,4.680351966557033e-16,-1.69073179567099e-16,-0.19443843385753143,-0.04326102580250276,1.0016380027358138,1.0016380027358138
1984,Vocal,-4.070817756958907e-16,5.181040781584064e-16,-0.09317930611452171,-0.23688826405591437,1.0954451150103321,1.0954451150103321
1985,Blues,0.0,0.0,0.0,0.0,,
1985,Comedy,-4.996003610813204e-16,0.0,-0.14413988329113725,-0.4201333218872166,1.1547005383792517,1.1547005383792515
1985,Country,-1.3322676295501878e-16,-2.4424906541753446e-16,-0.02369586261210176,-0.6355159058744224,1.1180339887498947,1.1180339887498951
1985,Easy,0.0,0.0,0.0,0.0,,
1985,Electronica,4.996003610813204e-16,-2.7755575615628914e-17,-0.19398313314182586,0.43550186252945716,1.1547005383792517,1.1547005383792515
1985,Gospel,0.0,0.0,0.0,0.0,0.0,0.0
1985,Jazz,1.4802973661668753e-16,3.7007434154171886e-16,0.6959071116238721,0.3122875347933607,1.224744871391589,1.224744871391589
1985,Pop,-6.753856733136369e-16,-2.9605947323337506e-16,-0.16045527618025468,-0.4575264305614529,1.0954451150103321,1.0954451150103324
1985,R&B,-2.784687685120664e-16,-7.011934892369409e-17,-0.18850768400560752,0.1004824480783932,1.0066445913694333,1.0066445913694333
1985,Rap,-1.4802973661668753e-16,1.4247862149356176e-15,-0.4788815979954332,-0.15309504162261328,1.224744871391589,1.2247448713915892
1985,Rock,-1.7418340032988322e-16,-1.6476808139313278e-16,-0.2319541704923677,-0.080947132439946,1.0017714805736784,1.0017714805736786
1985,Vocal,6.661338147750939e-16,-4.440892098500626e-16,0.3885564720967633,0.3275407686601901,1.224744871391589,1.224744871391589
1986,Country,0.0,0.0,0.0,0.0,,
1986,Electronica,6.661338147750939e-16,2.9605947323337506e-16,-0.1708333703026415,0.5615745638784879,1.2247448713915892,1.224744871391589
1986,Folk,0.0,0.0,0.0,0.0,,
1986,Jazz,0.0,0.0,0.0,0.0,0.0,0.0
1986,Latin,0.0,0.0,0.0,0.0,,
1986,Pop,2.220446049250313e-16,-2.42861286636753e-17,-0.24752190232159554,0.1356478797323761,1.0327955589886444,1.0327955589886446
1986,R&B,-3.010774304068221e-17,9.455713048714256e-17,-0.15386369203491065,-0.1976791093440179,1.0085838484282528,1.0085838484282525
1986,Rap,0.0,-2.3684757858670005e-15,-0.5139252974681346,0.4619190018849045,1.2247448713915892,1.224744871391589
1986,Rock,6.280049432223107e-17,4.653965204236767e-17,-0.2387664410042961,-0.09163536552661504,1.0016877649139873,1.001687764913987
1986,Vocal,0.0,0.0,0.0,0.0,,
1987,Blues,0.0,0.0,0.0,0.0,0.0,0.0
1987,Country,0.0,0.0,0.0,0.0,0.0,0.0
1987,Easy,5.181040781584064e-16,-2.9605947323337506e-16,-0.5375290575077957,0.4623096706144546,1.2247448713915887,1.2247448713915894
1987,Electronica,3.802513859341161e-16,1.2212453270876723e-16,0.164932559236146,-0.042909034339444596,1.0540925533894598,1.0540925533894598
1987,Jazz,4.440892098500626e-16,0.0,-0.5147766340126056,0.6700848314917851,1.224744871391589,1.2247448713915892
1987,Pop,1.6326809185664068e-16,1.0449157878825003e-16,-0.3799053396287944,-0.02566981077551151,1.0307764064044151,1.0307764064044151
1987,R&B,-5.312206370991255e-16,2.0939649451790928e-16,-0.32360185581903184,-0.07879512022931487,1.0063898413738648,1.006389841373865
1987,Rap,2.6962559169468085e-16,-1.3322676295501878e-15,0.1059178014782916,-0.028194973498510637,1.0801234497346435,1.0801234497346435
1987,Reggae,0.0,0.0,0.0,0.0,,
1987,Rock,2.5679371140444074e-17,2.5089291973812592e-16,-0.22985786837897726,-0.10726922724918075,1.0019743355844801,1.0019743355844801
1987,Vocal,7.401486830834377e-16,-1.850371707708594e-17,0.4507022420158713,-0.4506223396274616,1.224744871391589,1.2247448713915892
1988,Blues,0.0,0.0,0.0,0.0,,
1988,Comedy,0.0,0.0,0.0,0.0,,
1988,Electronica,1.7763568394002506e-16,2.1649348980190552e-16,-0.4041201013053703,-0.46169079376765443,1.05409255338946,1.0540925533894596
1988,Gospel,4.0245584642661925e-16,2.7755575615628914e-17,-0.1808102215920284,0.0684560893204394,1.1547005383792515,1.1547005383792515
1988,Jazz,0.0,0.0,0.0,0.0,,
1988,Pop,6.846375318521799e-16,6.661338147750939e-17,-0.16736413511221837,-0.07897126131327546,1.0170952554312156,1.0170952554312158
1988,R&B,-4.733867618887821e-16,2.8185126190632695e-16,-0.14835317902541076,0.016945751210913348,1.0080322575483707,1.0080322575483704
1988,Rap,-5.124106267500722e-16,-1.0248212535001446e-16,-0.10186032547283057,0.4430689291765516,1.0408329997330665,1.0408329997330663
1988,Reggae,0.0,0.0,0.0,0.0,,
1988,Rock,-3.08852166521237e-16,-2.1930331350620375e-16,-0.14830512313037542,-0.11164918495505156,1.0020639856840274,1.0020639856840277
1988,Vocal,2.220446049250313e-16,2.7755575615628914e-17,-0.0581573184971195,0.0015758892861142404,1.1547005383792515,1.1547005383792515
1989,Comedy,0.0,0.0,0.0,0.0,,
1989,Electronica,3.700743415417188e-17,-1.295260195396016e-16,-0.38195114003035285,0.1942164731333866,1.0444659357341872,1.044465935734187
1989,Jazz,0.0,0.0,0.0,0.0,0.0,0.0
1989,New Age,0.0,0.0,0.0,0.0,,
1989,Pop,1.8592153960174955e-16,2.0898315757650005e-16,-0.3593641860213357,-0.21372159072290337,1.0150384378451047,1.0150384378451045
1989,R&B,-3.9590972010217845e-16,1.214961045816209e-16,-0.3130284852654952,-0.11849690082631167,1.0095695960312838,1.0095695960312836
1989,Rap,2.391249591500337e-16,2.9036602182504095e-16,-0.3790116219313747,-0.13527057768823753,1.0408329997330663,1.0408329997330665
1989,Reggae,0.0,0.0,0.0,0.0,,
1989,Rock,-1.6106644637554354e-16,3.254972049469209e-16,-0.19242053510981288,-0.15939083869107795,1.0018993369439972,1.0018993369439972
1989,Vocal,0.0,0.0,0.0,0.0,,
1990,Blues,0.0,0.0,0.0,0.0,,
1990,Electronica,-2.896233977283017e-17,-2.1239049166742126e-16,-0.3061430041605537,0.004943719544336206,1.0224747162910899,1.02247471629109
1990,Jazz,0.0,0.0,0.0,0.0,,
1990,Latin,0.0,0.0,0.0,0.0,,
1990,Pop,-1.8388068845354155e-16,-2.7755575615628914e-17,-0.08682285952320946,-0.20583042810639895,1.0327955589886444,1.0327955589886444
1990,R&B,-1.135078763982436e-16,-6.462492232892702e-17,-0.2720170715390121,-0.1148658284791778,1.0075472768815938,1.0075472768815936
1990,Rap,-3.154042683594195e-17,3.242355878734832e-16,-0.4188434620051948,-0.31249043599655657,1.0235326314383182,1.023532631438318
1990,Reggae,0.0,0.0,0.0,0.0,0.0,0.0
1990,Rock,-9.78415724897969e-17,-2.3116972567537505e-16,-0.15395536825720496,-0.11876438016314304,1.0022909537471156,1.0022909537471159
1990,Vocal,0.0,0.0,0.0,0.0,,
1991,Comedy,0.0,0.0,0.0,0.0,,
1991,Electronica,4.837400321581039e-16,1.9825411154020654e-16,-0.26311696657645683,-0.11866360935886922,1.018350154434631,1.018350154434631
1991,Gospel,-2.886579864025407e-16,-1.554312234475219e-16,-0.5149054086945702,0.04956508330793166,1.1180339887498947,1.1180339887498947
1991,Jazz,0.0,0.0,0.0,0.0,0.0,0.0
1991,New Age,0.0,0.0,0.0,0.0,,
1991,Pop,1.0362081563168128e-16,2.812564995717063e-16,-0.5436011410281413,-0.1296813218581688,1.0350983390135313,1.0350983390135313
1991,R&B,1.0430724384583125e-16,9.311547948469055e-17,-0.3304009195974681,-0.12955456255668835,1.0081634007555278,1.0081634007555276
1991,Rap,1.1169926772143343e-16,-2.1662888285368908e-16,-0.1392291382782385,-0.14981828351480106,1.0124228365658292,1.0124228365658294
1991,Reggae,0.0,0.0,0.0,0.0,0.0,0.0
1991,Rock,9.33156685825965e-16,3.518552970350496e-16,-0.22213550399773133,-0.1419983285812381,1.0025740068320432,1.002574006832043
1991,Vocal,0.0,0.0,0.0,0.0,,
1992,Comedy,0.0,0.0,0.0,0.0,,
1992,Country,-3.7470027081099033e-16,-1.582067810090848e-16,-0.5141299337850614,-0.03219648571055188,1.1180339887498947,1.118033988749895
1992,Electronica,1.3158198810372225e-16,2.0354088784794536e-16,-0.22273454663834708,-0.0825080046864928,1.0190493307301363,1.0190493307301363
1992,Gospel,5.551115123125783e-17,0.0,0.3973165121219353,-0.14838922675937985,1.1547005383792515,1.1547005383792512
1992,Jazz,5.551115123125783e-17,2.7755575615628914e-17,-0.06062794069275823,0.3378006212608076,1.1547005383792515,1.1547005383792515
1992,Latin,0.0,0.0,0.0,0.0,,
1992,New Age,0.0,0.0,0.0,0.0,,
1992,Pop,0.0,3.9474596431116675e-16,-0.09196036629462197,-0.4558315273421459,1.0606601717798212,1.060660171779821
1992,R&B,-1.7356018169773016e-16,-5.62138240316535e-17,-0.1918055280520408,-0.17208448588508332,1.0063898413738648,1.0063898413738648
1992,Rap,-1.149873846933198e-16,-3.9650822308041306e-17,-0.3283615345270854,-0.16876860123945298,1.009049958219026,1.009049958219026
1992,Reggae,0.0,0.0,0.0,0.0,,
1992,Rock,-3.6601546166674517e-16,1.8551468605026809e-16,-0.21876425006962166,-0.03915031413704395,1.0032414995869667,1.0032414995869667
1992,Vocal,0.0,0.0,0.0,0.0,,
1993,Comedy,0.0,0.0,0.0,0.0,,
1993,Country,-7.335402126987641e-16,3.1720657846433045e-16,0.06246332802951067,-0.1980732378174028,1.0377490433255416,1.0377490433255416
